sentence;cleanliness;food/drinks;location;room amenities;staff;other
Close to everything....;0;0;0;0;0;0
This is an older hotel but delightful and very close to the 'Malecon' restaurants etc.;0;0;0;0;0;0
We were in a small single bed room and they allowed us to have our small dog with us - a real plus!;0;0;0;1;0;0
We enjoyed our stay and will do it again!;0;0;0;0;0;0
Great location  fair prices  nice staff.;0;0;1;0;1;0
Really cute place.;0;0;0;0;0;0
Looks like the might be upgrading.;0;0;0;0;0;0
Needs s bit of tlc.;0;0;0;0;0;0
We stayed in this same area 14 years ago but couldnt find the bb so opted for the Lorimar.;0;0;1;0;0;0
We do not mind basic accomodations but knew we had made a mistake when we had to wind down a narrow dark hallway to find our room.;0;0;0;1;0;0
Dingy small run-down it was awful.;0;0;0;0;0;0
We were so happy the next day to find a nice bb nearby.;0;0;1;0;0;0
This place needs some major work to be decent.;0;0;0;0;0;0
Don't go here! !;0;0;0;0;0;0
Would not stay here again as many other alternative places are available.;0;0;0;0;0;0
It was listed as a bit more upscale and a little pricier but really disappointed.;0;0;0;0;0;0
Paint peeling off the walls only one bare light bulb all others missing No Toilet paper in the room and checked in late so did not want to try to get staff again.;0;0;0;1;1;0
Beds were wooded frames with thin mattress so not good either.;0;0;0;0;0;0
My friend and I were charged more than our reservation rate and they refused to give a refund for the difference.;0;0;0;0;0;1
Mattress was stained with ???;1;0;0;0;0;0
other mattress had Springs poking through and thread bare.;0;0;0;0;0;0
We slept on top of bedding as afraid of bugs mold on walls plaster falling off walls room tucked down a dark dirty hallway.;1;0;0;1;0;0
Had anything else been available for my one night stay I would have left.;0;0;0;0;0;0
The park bench felt like a better option.;0;0;0;0;0;0
Hotel Lorimar is located in a great part of town with easy access to excellent beaches and walking distance to many restaurants and local shops.;0;0;1;0;0;0
The staff was very friendly accommodating and provided helpful information about the area.;0;0;1;0;1;0
4 days stay was OK nice neighborhood close to downtown are and one block from the harbor.;0;0;1;0;0;0
Clean everyday towels and friendly service.;1;0;0;0;1;0
Dogs barking at early hours and hot water in the shower take a while.;0;0;0;1;0;0
Great location but the hotel is a little tired.;0;0;1;0;0;0
Dinner was excellent and the roads are great for biking.;0;1;0;0;0;0
Very nice and clean family run hotel Amazing surrounding  Nice and gig rooms  Really quite area;1;0;1;1;0;0
Quite a unique hotel standing alone next to the river in a beautiful setting.;0;0;0;0;0;0
If you can't relax there you won't relax anywhere.;0;0;0;0;0;0
Some fittings are slightly dated but overall standard is quite high even more so for the area.;0;0;1;0;0;0
Wifi is OK but not excepetional mobile phone signal can disappear not necessarily a bad thing.;0;0;0;0;0;0
Lovely hotel on the outskirts of La-Roche-en-Ardennes.;0;0;0;0;0;0
The hotel was nice and comfortable but the bar and dining area were a bit stuffy for a casual weekend away.;0;1;1;0;0;0
It's great to stay surrounded by the nature;0;0;0;0;0;0
We only stayed one evening but the staff was very welcoming and helpful.;0;0;0;0;1;0
Gorgeous setting.;0;0;0;0;0;0
It's a quick 2km walk into La Roche on a lovely path but the staff were quick to point out it wasn't appropriate for our return back after a concert -- perfectly safe but no lights.;0;0;1;0;1;0
clean out the main area.;1;0;1;0;0;0
language for the staff breakfast needs to be improved;0;1;0;0;1;0
This hotel has a nice view of la spezia portbut is not convenient for those who drive to here because no parking is providedwe need to park at roadside outside this villa.;0;0;0;0;0;1
If you carry heave and big luaguage is also not recommend as there is no lift in this building;0;0;0;0;0;0
Clean comfortable place with very handy location for visiting Cinque Terre and nice outlook over the bay.;1;0;1;0;0;0
We did not have a problem with the hotel except that it was too far from train station to walk and the taxi ride was too expensive-about 10 Euros.;0;0;1;0;0;0
The lady running this villa is very nice and helpful.;0;0;0;0;0;0
A short drive to Porto Venere which is very nice as well as a short train ride to Cinque Terre.;0;0;1;0;0;0
The scenery is amazing.;0;0;0;0;0;0
Friendly helpful people.;0;0;0;0;1;0
Amazing plantings.;0;0;0;0;0;0
Room was spotless.;1;0;0;1;0;0
Nothing special.;0;0;0;0;0;0
The room was clean but old.;1;0;0;1;0;0
Fine for the price.;0;0;0;0;0;0
I'm sure it is wonderful in the summer  great location.;0;0;1;0;0;0
We are lifelong visitors with family in the area but needed more beds for the weekend.;0;0;1;0;0;0
I did a review of the local hotels and took a chance the pics were accurate.;0;0;0;0;0;0
I was very happy with the cleanliness and neatness of the hotel.;0;0;0;0;0;0
Very cute and with a view of the lake.;0;0;0;0;0;0
Beautiful unique flowers and plants on the property also.;0;0;0;0;0;0
very happywill stay again for sure.Staff was friendly;0;0;0;0;1;0
Very clean friendly staff.;1;0;0;0;1;0
A nice small place to stay;0;1;1;1;1;0
Great location with friendly staff that feels like coming home at night rather than a cookie cutter motel.;0;0;1;0;1;0
Rooms are very clean modern and comfortable.;1;0;0;1;0;0
The flower gardens surrounding the property are a unique experience you’ll find no where else.;0;0;0;0;0;0
It’s our only choice from now on.;0;0;0;0;0;0
We brought our 12 year old granddaughter and her friend as a birthday gift to her.;0;0;0;0;0;0
The owner was very nice and the girls had a wonderful time in the pool and hot tub.;0;0;0;0;0;1
We also went mini golfing at Pirate's Cove and spent some time at Funspot arcade.;0;0;0;0;0;1
There is a lot to do in area for children and adults.;0;0;1;0;0;0
Weirs Beach appeared to be in better shape than we remembered from a visit years ago.;0;0;0;0;0;0
A very pleasant stay.;0;0;0;0;0;0
Clean comfortable and welcoming.;1;0;0;0;0;0
Property was further enhanced by beautiful flowers.;0;0;0;0;0;0
Loved the location of it beautiful views  near everything you could think of.;0;0;1;0;0;0
I will return.;0;0;0;0;0;0
The room we stayed in was excellent.;0;0;0;1;0;0
It was extremely clean the beds were comfortable the sheets were awesome pillows comfortable the room was recently updated.;1;0;0;1;0;0
This hotel was excellent.;0;0;0;0;0;0
Wonderful!!!!;0;0;0;0;0;0
Beautiful view!;0;0;0;0;0;1
Clean and comfortable!;1;0;0;0;0;0
Very easy check in with excellent staff!! !;0;0;0;0;1;0
Although the rooms are  not as large as the chains ours was quite comfortable clean and well designed.;1;0;0;1;0;0
Great value and lake views from the porch.;0;0;0;0;0;0
The staff couldn't have been kinder the room was quiet and charming.;0;0;0;1;1;0
The view of the bay was obstructed but there was a delightful little gazebo where we sat and relaxed a bit at night.;0;0;0;0;0;0
Pleased with our stay would stay here again.;0;0;0;0;0;0
We would definately stay again.;0;0;0;0;0;0
My husband and I just wanted a little weekend get away and this was perfect.;0;0;1;1;1;0
Rooms are large a lot of ammendities close to shops beach restaurants.;0;0;0;1;0;0
Meredith is just up the road and a beautiful place to visit.;0;0;0;0;0;0
We were very comfortable and enjoyed our stay at the Summit.;0;0;0;0;0;0
The room was more rustic than I had thought but clean and surprisingly spacious.;1;0;0;1;0;0
We were in NH for a wedding and requested an early check-in if possible.;0;0;0;0;0;0
When we arrived they said that they were ready for us and were able to go right into our room which we really appreciated.;0;0;0;1;0;0
The grounds and the pool were beautiful and very close to Weirs Beach and great shopping.;0;0;0;0;0;0
Spent the day boating on Lake Winnipesaukee.;0;0;0;0;0;1
Great time.;0;0;0;0;0;0
The place was clean but very out dated.;1;0;0;0;0;0
Kids loved the pools and amenities.;0;0;0;0;0;0
What a beautiful room we walked into after meeting such a friendly receptionist that checked us in quickly!;0;0;1;1;1;0
The grounds are beautiful and quiet.;0;0;0;0;0;0
The multiple pools were a huge hit for my family!;0;0;0;0;0;0
Will be returning!;0;0;0;0;0;0
the beds were very hard which meant sleepless nights              some of the blankets were still covered in hair so I don't think they were washed;0;0;0;0;0;1
This was a great location near the Bank of NH Pavilion.;0;0;1;0;0;0
The room was extremely spacious and well appointed.;0;0;0;1;0;0
The pool area was above average and had beautiful views.;0;0;1;0;0;0
I’d definitely stay here again.;0;0;0;0;0;0
great location to stay as we were seeing a concert at the Bank of NH Pavilion just 3 miles away;0;0;1;0;0;0
Got there check-in was 4pm got there at 430 went to room and the cleaners were still in it said come back in 20 min.;0;0;0;1;0;0
Went to desk got a different room and they extended our checkout time who h was good.;0;0;0;1;0;0
