sentence;cleanliness;food/drinks;location;room amenities;staff;other
Close to everything....;-;-;-;-;-;-
This is an older hotel but delightful and very close to the 'Malecon' restaurants etc.;-;-;-;-;-;-
We were in a small single bed room and they allowed us to have our small dog with us - a real plus!;-;-;-;positive;-;-
We enjoyed our stay and will do it again!;-;-;-;-;-;-
Great location  fair prices  nice staff.;-;-;positive;-;positive;-
Really cute place.;-;-;-;-;-;-
Looks like the might be upgrading.;-;-;-;-;-;-
Needs s bit of tlc.;-;-;-;-;-;-
We stayed in this same area 14 years ago but couldnt find the bb so opted for the Lorimar.;-;-;positive;-;-;-
We do not mind basic accomodations but knew we had made a mistake when we had to wind down a narrow dark hallway to find our room.;-;-;-;negative;-;-
Dingy small run-down it was awful.;-;-;-;-;-;-
We were so happy the next day to find a nice bb nearby.;-;-;positive;-;-;-
This place needs some major work to be decent.;-;-;-;-;-;-
Don't go here! !;-;-;-;-;-;-
Would not stay here again as many other alternative places are available.;-;-;-;-;-;-
It was listed as a bit more upscale and a little pricier but really disappointed.;-;-;-;-;-;-
Paint peeling off the walls only one bare light bulb all others missing No Toilet paper in the room and checked in late so did not want to try to get staff again.;-;-;-;negative;negative;-
Beds were wooded frames with thin mattress so not good either.;-;-;-;-;-;-
My friend and I were charged more than our reservation rate and they refused to give a refund for the difference.;-;-;-;-;-;-
Mattress was stained with ???;negative;-;-;-;-;-
other mattress had Springs poking through and thread bare.;-;-;-;-;-;-
We slept on top of bedding as afraid of bugs mold on walls plaster falling off walls room tucked down a dark dirty hallway.;negative;-;-;negative;-;-
Had anything else been available for my one night stay I would have left.;-;-;-;-;-;-
The park bench felt like a better option.;-;-;-;-;-;-
Hotel Lorimar is located in a great part of town with easy access to excellent beaches and walking distance to many restaurants and local shops.;-;-;positive;-;-;-
The staff was very friendly accommodating and provided helpful information about the area.;-;-;positive;-;positive;-
4 days stay was OK nice neighborhood close to downtown are and one block from the harbor.;-;-;negative;-;-;-
Clean everyday towels and friendly service.;positive;-;-;-;positive;-
Dogs barking at early hours and hot water in the shower take a while.;-;-;-;negative;-;-
Great location but the hotel is a little tired.;-;-;positive;-;-;-
Dinner was excellent and the roads are great for biking.;-;positive;-;-;-;-
Very nice and clean family run hotel Amazing surrounding  Nice and gig rooms  Really quite area;positive;-;positive;positive;-;-
Quite a unique hotel standing alone next to the river in a beautiful setting.;-;-;-;-;-;-
If you can't relax there you won't relax anywhere.;-;-;-;-;-;-
Some fittings are slightly dated but overall standard is quite high even more so for the area.;-;-;positive;-;-;-
Wifi is OK but not excepetional mobile phone signal can disappear not necessarily a bad thing.;-;-;-;-;-;-
Lovely hotel on the outskirts of La-Roche-en-Ardennes.;-;-;-;-;-;-
The hotel was nice and comfortable but the bar and dining area were a bit stuffy for a casual weekend away.;-;positive;positive;-;-;-
It's great to stay surrounded by the nature;-;-;-;-;-;-
We only stayed one evening but the staff was very welcoming and helpful.;-;-;-;-;positive;-
Gorgeous setting.;-;-;-;-;-;-
It's a quick 2km walk into La Roche on a lovely path but the staff were quick to point out it wasn't appropriate for our return back after a concert -- perfectly safe but no lights.;-;-;positive;-;positive;-
clean out the main area.;-;-;-;-;-;-
language for the staff breakfast needs to be improved;-;-;-;-;-;-
This hotel has a nice view of la spezia portbut is not convenient for those who drive to here because no parking is providedwe need to park at roadside outside this villa.;-;-;-;-;-;-
If you carry heave and big luaguage is also not recommend as there is no lift in this building;-;-;-;-;-;-
Clean comfortable place with very handy location for visiting Cinque Terre and nice outlook over the bay.;positive;-;positive;-;-;-
We did not have a problem with the hotel except that it was too far from train station to walk and the taxi ride was too expensive-about 10 Euros.;-;-;positive;-;-;-
The lady running this villa is very nice and helpful.;-;-;-;-;-;-
A short drive to Porto Venere which is very nice as well as a short train ride to Cinque Terre.;-;-;positive;-;-;-
The scenery is amazing.;-;-;-;-;-;-
Friendly helpful people.;-;-;-;-;positive;-
Amazing plantings.;-;-;-;-;-;-
Room was spotless.;positive;-;-;positive;-;-
Nothing special.;-;-;-;-;-;-
The room was clean but old.;negative;-;-;negative;-;-
Fine for the price.;-;-;-;-;-;-
I'm sure it is wonderful in the summer  great location.;-;-;positive;-;-;-
We are lifelong visitors with family in the area but needed more beds for the weekend.;-;-;-;-;-;-
I did a review of the local hotels and took a chance the pics were accurate.;-;-;-;-;-;-
I was very happy with the cleanliness and neatness of the hotel.;-;-;-;-;-;-
Very cute and with a view of the lake.;-;-;-;-;-;-
Beautiful unique flowers and plants on the property also.;-;-;-;-;-;-
very happywill stay again for sure.Staff was friendly;-;-;-;-;positive;-
Very clean friendly staff.;positive;-;-;-;positive;-
A nice small place to stay;-;positive;positive;positive;positive;-
Great location with friendly staff that feels like coming home at night rather than a cookie cutter motel.;-;-;positive;-;positive;-
Rooms are very clean modern and comfortable.;positive;-;-;positive;-;-
The flower gardens surrounding the property are a unique experience you’ll find no where else.;-;-;-;-;-;-
It’s our only choice from now on.;-;-;-;-;-;-
We brought our 12 year old granddaughter and her friend as a birthday gift to her.;-;-;-;-;-;-
The owner was very nice and the girls had a wonderful time in the pool and hot tub.;-;-;-;-;-;-
We also went mini golfing at Pirate's Cove and spent some time at Funspot arcade.;-;-;-;-;-;-
There is a lot to do in area for children and adults.;-;-;positive;-;-;-
Weirs Beach appeared to be in better shape than we remembered from a visit years ago.;-;-;-;-;-;-
A very pleasant stay.;-;-;-;-;-;-
Clean comfortable and welcoming.;positive;-;-;-;-;-
Property was further enhanced by beautiful flowers.;-;-;-;-;-;-
Loved the location of it beautiful views  near everything you could think of.;-;-;positive;-;-;-
I will return.;-;-;-;-;-;-
The room we stayed in was excellent.;-;-;-;positive;-;-
It was extremely clean the beds were comfortable the sheets were awesome pillows comfortable the room was recently updated.;positive;-;-;positive;-;-
This hotel was excellent.;-;-;-;-;-;-
Wonderful!!!!;-;-;-;-;-;-
Beautiful view!;-;-;-;-;-;-
Clean and comfortable!;positive;-;-;-;-;-
Very easy check in with excellent staff!! !;-;-;-;-;positive;-
Although the rooms are  not as large as the chains ours was quite comfortable clean and well designed.;positive;-;-;positive;-;-
Great value and lake views from the porch.;-;-;-;-;-;-
The staff couldn't have been kinder the room was quiet and charming.;-;-;-;positive;positive;-
The view of the bay was obstructed but there was a delightful little gazebo where we sat and relaxed a bit at night.;-;-;-;-;-;-
Pleased with our stay would stay here again.;-;-;-;-;-;-
We would definately stay again.;-;-;-;-;-;-
My husband and I just wanted a little weekend get away and this was perfect.;-;-;positive;positive;positive;-
Rooms are large a lot of ammendities close to shops beach restaurants.;-;-;-;positive;-;-
Meredith is just up the road and a beautiful place to visit.;-;-;-;-;-;-
We were very comfortable and enjoyed our stay at the Summit.;-;-;-;-;-;-
The room was more rustic than I had thought but clean and surprisingly spacious.;positive;-;-;positive;-;-
We were in NH for a wedding and requested an early check-in if possible.;-;-;-;-;-;-
When we arrived they said that they were ready for us and were able to go right into our room which we really appreciated.;-;-;-;positive;-;-
The grounds and the pool were beautiful and very close to Weirs Beach and great shopping.;-;-;-;-;-;-
Spent the day boating on Lake Winnipesaukee.;-;-;-;-;-;-
Great time.;-;-;-;-;-;-
The place was clean but very out dated.;negative;-;-;-;-;-
Kids loved the pools and amenities.;-;-;-;-;-;-
What a beautiful room we walked into after meeting such a friendly receptionist that checked us in quickly!;-;-;positive;positive;positive;-
The grounds are beautiful and quiet.;-;-;-;-;-;-
The multiple pools were a huge hit for my family!;-;-;-;-;-;-
Will be returning!;-;-;-;-;-;-
the beds were very hard which meant sleepless nights              some of the blankets were still covered in hair so I don't think they were washed;-;-;-;-;-;-
This was a great location near the Bank of NH Pavilion.;-;-;positive;-;-;-
The room was extremely spacious and well appointed.;-;-;-;positive;-;-
The pool area was above average and had beautiful views.;-;-;positive;-;-;-
I’d definitely stay here again.;-;-;-;-;-;-
great location to stay as we were seeing a concert at the Bank of NH Pavilion just 3 miles away;-;-;negative;-;-;-
Got there check-in was 4pm got there at 430 went to room and the cleaners were still in it said come back in 20 min.;-;-;-;negative;-;-
Went to desk got a different room and they extended our checkout time who h was good.;-;-;-;-;-;-
Over all nice place and friendly desk.;-;-;-;-;positive;-
Nice clean indoor pool.;positive;-;-;-;-;-
Room was nice only bad thing beds were super hard like a rock but would stay again;-;-;-;positive;-;-
Would definitely come back and stay here.;-;-;-;-;-;-
Taxi services were very limited while concerts going on at Bank Pavillion;-;-;-;-;negative;-
Terrible place.....wouldn't recommend it to my worst enemy.;-;-;-;-;-;-
Expect the room that was in an OK condition everything else outside of it  because of the reconstruction of the building was nothing compared to a normal facility !;-;-;-;negative;-;-
Hotel room was DIRTY.;negative;-;-;negative;-;-
Bed was very uncomfortable.;-;-;-;-;-;-
No AC in the lobby.;-;-;-;-;-;-
Kayak was stolen out of the back of my truck in the parking lot and the front desk was less than helpful or empathetic.;-;-;-;-;-;-
Refused to call police and file a report.;-;-;-;-;-;-
Will NEVER stay there again and don't recommend anyone ever stay there.;-;-;-;-;-;-
It is under EXTENSIVE construction.;-;-;-;-;-;-
