Evaluation results:
	Category: cleanliness
		Precision: 0.8836066449441804
		Recall: 0.8511907672746833
		F1-score: 0.8603578488519439
		Wrong classification:
			Sentence: The motel was overall generally nice clean and comfortable
			Actual: 0
			Prediction: 1
			Sentence: No issues clean comfortable Friendly staff
			Actual: 0
			Prediction: 1
			Sentence: This facility is very out dated shabby and does not appear clean
			Actual: 0
			Prediction: 1
			Sentence: Carpets and bedding are worn thread bare and stained
			Actual: 0
			Prediction: 1
			Sentence: Compared to other hotels in Japan this wasn t that clean
			Actual: 0
			Prediction: 1
			Sentence: Had to take an Uber to go Downtown the room smelled like mothballs but the price was reasonable and quiet environment
			Actual: 1
			Prediction: 0
			Sentence: Beds and towels were clean bit NO hot water
			Actual: 0
			Prediction: 1
			Sentence: everything was OK the place is nice and cozy clean can use maintenance but my whole stay there was no hot water I would have to let water run for a looooonnnnnnng time to even get a little warm water
			Actual: 1
			Prediction: 0
			Sentence: Sheets were clean but over bleached and starched
			Actual: 0
			Prediction: 1
			Sentence: Clean sheets
			Actual: 0
			Prediction: 1
			Sentence: Hair all over room bathroom not clean
			Actual: 0
			Prediction: 1
			Sentence: Place was filthy smelly and very noisy
			Actual: 0
			Prediction: 1
			Sentence: What I liked the best were the free breakfasts the 5 daily credit if you didn t need the room cleaned on a daily basis
			Actual: 1
			Prediction: 0
			Sentence: Nice motel close to centre rooms are always tidy
			Actual: 1
			Prediction: 0
			Sentence: Clean room near the beach and dirt cheap
			Actual: 0
			Prediction: 1
			Sentence: CLEANING OF THE ROOM WAS HIT AND MISS
			Actual: 0
			Prediction: 1
			Sentence: Room wasn t clean when I reached
			Actual: 0
			Prediction: 1
			Sentence: Had to call the housekeeping staff to clean it
			Actual: 0
			Prediction: 1
			Sentence: Room was not clean we have to ask them to clean it properly
			Actual: 0
			Prediction: 1
			Sentence: pillow is very hard chair and table cloth to be clean handwashing area washbasin very dirty
			Actual: 0
			Prediction: 1
			Sentence: Clean bedding towels but no bedside lights
			Actual: 0
			Prediction: 1
			Sentence: It wasnt clean when I ve come and sheets needed to be changed
			Actual: 0
			Prediction: 1
			Sentence: no shampoo no shower gel no desk but quite and clean staffs are nice
			Actual: 0
			Prediction: 1
			Sentence: Room clean but worn
			Actual: 0
			Prediction: 1
			Sentence: Motel across street was 40 00 dollars and very clean but old
			Actual: 0
			Prediction: 1
			Sentence: Clean and comfy and close to Mt Field National Park
			Actual: 0
			Prediction: 1
			Sentence: Very old and filthy
			Actual: 0
			Prediction: 1
			Sentence: Nice friendly and clean Motel
			Actual: 0
			Prediction: 1
			Sentence: Great motel nice and clean and close to lots of amenities
			Actual: 0
			Prediction: 1
			Sentence: The Flamingo is an affordable 80 s style motel that is comfortable and clean with pleasant staff and a pool and hot pool
			Actual: 0
			Prediction: 1
			Sentence: Clean and tidy old school motel
			Actual: 0
			Prediction: 1
			Sentence: The room smelled a little but overall it suited our purpose
			Actual: 1
			Prediction: 0
			Sentence: Although we arrived early we were allowed into our room as soon as it was cleaned
			Actual: 1
			Prediction: 0
			Sentence: The staff was accomodating and the place was tidy
			Actual: 1
			Prediction: 0
			Sentence: Smell in pillow pillow slips are clean
			Actual: 0
			Prediction: 1
			Sentence: Clean towels
			Actual: 0
			Prediction: 1
			Sentence: Think they would make sure my room was clean before I checked into it
			Actual: 0
			Prediction: 1
			Sentence: How about making sure my room is clean before I check in
			Actual: 0
			Prediction: 1
		Number of wrong classification: 38 out of 290
	Category: food/drinks
		Precision: 0.7906074967686343
		Recall: 0.6573606034683879
		F1-score: 0.6713804713804714
		Wrong classification:
			Sentence: Friendly staff good food nice bed no hot water in shower
			Actual: 0
			Prediction: 1
			Sentence: Advice don t pay for the dinner or breakfast you get much better value for money if you eat at the eating places at the nara station
			Actual: 0
			Prediction: 1
			Sentence: Arrived at around dinner time and had to wait until someone arrived to check us in
			Actual: 0
			Prediction: 1
			Sentence: Food at the restaurant was good
			Actual: 0
			Prediction: 1
			Sentence: The property did not offer any food service so you are forced to search the local area
			Actual: 0
			Prediction: 1
			Sentence: Also there was a advertising of a continiental breakfast and there was none as previously stated the property had no food service for their guests
			Actual: 0
			Prediction: 1
			Sentence: Breakfast not available ans free coffee is available in reception but not in your room
			Actual: 1
			Prediction: 0
			Sentence: No restaurant open for breakfast or anything
			Actual: 0
			Prediction: 1
			Sentence: I was advised to go around the corner to a coffee shop
			Actual: 0
			Prediction: 1
			Sentence: Wish they did lunch and dinner though
			Actual: 0
			Prediction: 1
			Sentence: Unfortunately there wasn t a bar
			Actual: 0
			Prediction: 1
			Sentence: At 4 am someone was laying on the horn to get into the gate only to drop some drunk guy off and leave
			Actual: 0
			Prediction: 1
			Sentence: Breakfast was almost nothing
			Actual: 0
			Prediction: 1
			Sentence: Unfortunately they apparently have a second bar which was right below our room
			Actual: 0
			Prediction: 1
			Sentence: Although the attached restaurant was very busy usually a good sign we were disappointed in the food
			Actual: 0
			Prediction: 1
			Sentence: at 8am the breakfast was very light nothing to eat apart kellogs and if you don t like
			Actual: 0
			Prediction: 1
			Sentence: Breakfast sucked and was practically non existent one morning
			Actual: 0
			Prediction: 1
			Sentence: Only access to food nearby was a student food hall
			Actual: 0
			Prediction: 1
			Sentence: No breakfast served and pool was closed
			Actual: 0
			Prediction: 1
			Sentence: However breakfast is no longer served unlike before
			Actual: 0
			Prediction: 1
			Sentence: The staff was nice the lobby was large and pleasant and the breakfast was good but the room was very old and smelly
			Actual: 0
			Prediction: 1
			Sentence: Extreme noise from music at bar
			Actual: 0
			Prediction: 1
			Sentence: Food was average the taste was okay just eatable but it was bit expensive
			Actual: 1
			Prediction: 0
			Sentence: Service was on time Food was terrible
			Actual: 0
			Prediction: 1
			Sentence: During check out only Hand written bill slips of food water he did not give me bill of room charges
			Actual: 0
			Prediction: 1
			Sentence: Delay in check in manager denied to check in then after sometime he checkin but the room quality was very bad and in the hotel there is only 2 staff members 1 is manager and other waiter and no else was there in the hotel and breakfast you cannot have your choice of breakfast and the taste of breakfast is very bad and and tea is of full of water almost with no sugar i suggest everyone who is planning to visit hotel please check room before checkin and in my recommendation please if you pay genuine then go for genuine only
			Actual: 0
			Prediction: 1
			Sentence: staff behavior is good but food quality and tea not good
			Actual: 0
			Prediction: 1
			Sentence: If you give importance to good food this hotel is not for you
			Actual: 0
			Prediction: 1
			Sentence: Simple breakfast when I paid for all days on check out they took little bit more the price in Hotels com
			Actual: 0
			Prediction: 1
			Sentence: 20 minutes to have a bottle of water delivered to the table 45 minutes for food to arrive but most concrening is hygiene my waiter cleaned my knife by running it between his fingers
			Actual: 0
			Prediction: 1
			Sentence: I enjoy staying at One Burgess Hill because of the peace and tranquility yet its only a few minutes drive to the middle of town
			Actual: 0
			Prediction: 1
			Sentence: Had a lovely meal in the restaurant
			Actual: 1
			Prediction: 0
			Sentence: milk for cups of tea
			Actual: 0
			Prediction: 1
			Sentence: Stayed 2 days and first day came back and only coffee filled
			Actual: 0
			Prediction: 1
			Sentence: Nothing for late arrival but junk food and apples
			Actual: 0
			Prediction: 1
			Sentence: Cons no coffee pot or microwave in the room mini bar in hotel room outrageously over priced but had some nice items
			Actual: 1
			Prediction: 0
			Sentence: Unfortunately the hotel has also a pub and a beer garden
			Actual: 0
			Prediction: 1
			Sentence: On the night I stayed the beer garden was rented out for a function which lead to extreme noise from a music band until 11 20 pm
			Actual: 0
			Prediction: 1
			Sentence: The only complaint we had was there was not enough tea in our room
			Actual: 1
			Prediction: 0
			Sentence: There was lots of coffee but only three teabags
			Actual: 0
			Prediction: 1
			Sentence: That was a bit disappointing as we couldn t have a cup of tea in the morning as we only had one teabag between two
			Actual: 1
			Prediction: 0
			Sentence: Food was great at the Golf club but room service food was not recommendable
			Actual: 0
			Prediction: 1
			Sentence: Breakfast at the Pavilion overlooking the infinity pool golf course and ocean can t be matched anywhere in the U S
			Actual: 0
			Prediction: 1
			Sentence: Nice outside fire pit for sitting around with a drink on a warm night
			Actual: 0
			Prediction: 1
			Sentence: Even strongest darkest coffee was weak Thanks
			Actual: 0
			Prediction: 1
			Sentence: During our visit the bar ran out of requested beverages food menus were not visible elevator is loud and sounds as if it is going to break at any time
			Actual: 0
			Prediction: 1
			Sentence: When the bar tender ran out of Bacardi rum she stated they only get stocked once a week inventory issues
			Actual: 0
			Prediction: 1
			Sentence: Breakfast nothing special
			Actual: 0
			Prediction: 1
			Sentence: The bay provides a wide range of dishes next to your cabanas and the beach
			Actual: 0
			Prediction: 1
			Sentence: The only fresh air comes from a space also overlooking the patio and bar
			Actual: 0
			Prediction: 1
			Sentence: We also came from Glendalough and went to Greystones for dinner
			Actual: 0
			Prediction: 1
			Sentence: The breakfast room was sunny but up a flight of stairs
			Actual: 0
			Prediction: 1
			Sentence: the room is OK and the breakfast is awful nothing to eat
			Actual: 0
			Prediction: 1
			Sentence: Nice location average hotel breakfast not bad very good pool
			Actual: 0
			Prediction: 1
			Sentence: Breakfast choice not so good
			Actual: 0
			Prediction: 1
			Sentence: Only bad thing was the coffee maker was filthy
			Actual: 0
			Prediction: 1
		Number of wrong classification: 56 out of 244
	Category: location
		Precision: 0.6795013850415512
		Recall: 0.5361607142857143
		F1-score: 0.5085381793650123
		Wrong classification:
			Sentence: short walk to beach
			Actual: 0
			Prediction: 1
			Sentence: Convenient location to the event we were attending
			Actual: 0
			Prediction: 1
			Sentence: Great location looking out over the beach
			Actual: 0
			Prediction: 1
			Sentence: Didn t experience the area
			Actual: 0
			Prediction: 1
			Sentence: Next to Nara Park n also train station
			Actual: 0
			Prediction: 1
			Sentence: Advice don t pay for the dinner or breakfast you get much better value for money if you eat at the eating places at the nara station
			Actual: 0
			Prediction: 1
			Sentence: We were disappointed the area was cool but the hotel not so much
			Actual: 0
			Prediction: 1
			Sentence: Hotel is conveniently located near the kintetsu line and close to attractions like the Deer Park Todai ji and Kasuga Taisha
			Actual: 1
			Prediction: 0
			Sentence: Lovely area and motel close handy to all conveniences and beaches
			Actual: 0
			Prediction: 1
			Sentence: There WAS a dead cockroach on my bedside table and the place smelt musty
			Actual: 0
			Prediction: 1
			Sentence: There was also a sewing needle complete with red thread stuck in the blue curtains near the sofa
			Actual: 0
			Prediction: 1
			Sentence: Location was good staff was not helpful and room was dirty
			Actual: 0
			Prediction: 1
			Sentence: All of our needs were met and we look forward to being guests again in the near future
			Actual: 1
			Prediction: 0
			Sentence: Stay away
			Actual: 0
			Prediction: 1
			Sentence: The TV only got one station as well
			Actual: 0
			Prediction: 1
			Sentence: The property did not offer any food service so you are forced to search the local area
			Actual: 0
			Prediction: 1
			Sentence: Awkward location dilapidated condition
			Actual: 0
			Prediction: 1
			Sentence: Within walking distance to the Junkanoo beach and restaurants and the downtown area
			Actual: 0
			Prediction: 1
			Sentence: Great little place to stay very close to the beach and beach bars and a close walk to the shops
			Actual: 1
			Prediction: 0
			Sentence: Seemed like a safe area
			Actual: 0
			Prediction: 1
			Sentence: The beach is right across the street and downtown is in walking distance or catch the Jitney Bus
			Actual: 0
			Prediction: 1
			Sentence: Access to busses and nearby restaurants and beach
			Actual: 0
			Prediction: 1
			Sentence: We had to walk to the Main Street to catch the bus and the walk feels dangerous and the sides are full of trash abandoned cars
			Actual: 0
			Prediction: 1
			Sentence: Doesn t feel safe to walk at night
			Actual: 0
			Prediction: 1
			Sentence: It s just the location that didn t work for me
			Actual: 0
			Prediction: 1
			Sentence: It had good bus connections
			Actual: 0
			Prediction: 1
			Sentence: Not comfortable with the neighborhood hotel or hotel staff
			Actual: 0
			Prediction: 1
			Sentence: Great location but rooms are pretty spartan no shampoo
			Actual: 0
			Prediction: 1
			Sentence: Beautiful grounds house and location
			Actual: 0
			Prediction: 1
			Sentence: The location is good away from the center of town but with easy walking distance to the iSite and the downtown center
			Actual: 0
			Prediction: 1
			Sentence: Really happy with location of motel
			Actual: 0
			Prediction: 1
			Sentence: Great for morning walk in the beach
			Actual: 0
			Prediction: 1
			Sentence: Great beach front location at Tahuna
			Actual: 0
			Prediction: 1
			Sentence: Very basic near main road so lot of noise during day
			Actual: 0
			Prediction: 1
			Sentence: After a bit of confusion with pricing we were really happy with the facilities and location of the motel
			Actual: 0
			Prediction: 1
			Sentence: They need to walk the halls at night and quiet loud guests
			Actual: 0
			Prediction: 1
			Sentence: Never been so close to walking away and driving home
			Actual: 0
			Prediction: 1
			Sentence: No information on local activities or maps of area
			Actual: 0
			Prediction: 1
			Sentence: Good location in old town and close to Burriana beach
			Actual: 0
			Prediction: 1
			Sentence: Train at night was too loud
			Actual: 0
			Prediction: 1
			Sentence: Would be helpful to know when water park is not open
			Actual: 0
			Prediction: 1
			Sentence: Only access to food nearby was a student food hall
			Actual: 0
			Prediction: 1
			Sentence: I could hear people walking around and talking in the hallway because of bad sound proof
			Actual: 0
			Prediction: 1
			Sentence: If not it is too far away from the downtown and the restaurants
			Actual: 0
			Prediction: 1
			Sentence: It is convenient for me as I am a graduate student in Rutgers and my family lives two hours away from the university
			Actual: 0
			Prediction: 1
			Sentence: Okay neighborhood
			Actual: 0
			Prediction: 1
			Sentence: I can understand the noise as it is not a great area but for a 3 star hotel I cannot understand that the duvet is full off holes no toilet paper in toilet and no towels in bathroom
			Actual: 0
			Prediction: 1
			Sentence: Hotel appearance was nice proper parking area but I haven t utilized it
			Actual: 0
			Prediction: 1
			Sentence: The location was good as the accessibility was good but due to narrow roads it was a bit difficult to reach the hotel location
			Actual: 1
			Prediction: 0
			Sentence: Though the room quality was good as it was clean and well maintained but the network connectivity was not good and the location of the hotel was not easily accessible as they was no proper sign board installed at the main road so I suggest the hotel to improve it
			Actual: 0
			Prediction: 1
			Sentence: Hotel appearance was good but the parking area was congested
			Actual: 0
			Prediction: 1
			Sentence: Location is also very bad
			Actual: 0
			Prediction: 1
			Sentence: As mentioned the only plus point was the location
			Actual: 0
			Prediction: 1
			Sentence: Hotel location was not that much good To find out the hotel locality It was difficult
			Actual: 0
			Prediction: 1
			Sentence: pillow is very hard chair and table cloth to be clean handwashing area washbasin very dirty
			Actual: 0
			Prediction: 1
			Sentence: good location new delhi tourist spots good cleanliness good customer service
			Actual: 0
			Prediction: 1
			Sentence: The hotel itself was in a run down area of the town in a dirty side street with other similar shady hotels
			Actual: 0
			Prediction: 1
			Sentence: I walked but I understand the Yale shuttle stops nearby to take you to the campus
			Actual: 0
			Prediction: 1
			Sentence: I am a older woman and had to walk the blocks by myself
			Actual: 0
			Prediction: 1
			Sentence: Desk staff and concierge were not knowledgeable about the area or helpful in any way
			Actual: 0
			Prediction: 1
			Sentence: Location is great conveniently to the French quarter bourbon street and the trolley
			Actual: 0
			Prediction: 1
			Sentence: The location is terrible the room was dirty and the people from the front desk where kind of rude
			Actual: 0
			Prediction: 1
			Sentence: The only areas that were air conditioned where the actual guest rooms and ours had a window unit
			Actual: 0
			Prediction: 1
			Sentence: The workmen who are working on fire damaged areas took time to give us a tour
			Actual: 0
			Prediction: 1
			Sentence: My loft sleeping area had ceilings about 6 feet high and I m 6 3
			Actual: 0
			Prediction: 1
			Sentence: I enjoy staying at One Burgess Hill because of the peace and tranquility yet its only a few minutes drive to the middle of town
